loss,dimension_loss,orientation_loss,confidence_loss,dimension_mse,orientation_mse,confidence_accuracy,val_loss,val_dimension_loss,val_orientation_loss,val_confidence_loss,val_dimension_mse,val_orientation_mse,val_confidence_accuracy
1.1953307390213013,0.1944924741983413,0.0864231884479522,0.1864666938781738,0.1944924741983413,0.747660756111145,0.7955147624015808,13.109642028808594,2.5900304317474365,0.0572896972298622,0.1471131592988968,2.5900304317474365,0.7510988116264343,0.8497853875160217
0.7515233159065247,0.1152874082326889,0.0679910480976104,0.1461996734142303,0.1152874082326889,0.749309778213501,0.842922031879425,28.21619415283203,5.617074489593506,0.0472206138074398,0.1199723929166793,5.617074489593506,0.7518497109413147,0.8766094446182251
0.6056662201881409,0.0915394350886344,0.0578791797161102,0.1223017498850822,0.0915394350886344,0.7502299547195435,0.8663890957832336,17.8654727935791,3.5514514446258545,0.0407232195138931,0.0942652970552444,3.5514514446258545,0.7525749206542969,0.8991416096687317
0.4755740761756897,0.0690134689211845,0.0508481413125991,0.1084694489836692,0.0690134689211845,0.7508037686347961,0.8820968866348267,13.448128700256348,2.669929265975952,0.0365209206938743,0.0874122977256774,2.669929265975952,0.7529516816139221,0.9061158895492554
0.42106494307518,0.0607640631496906,0.0469181016087532,0.093735322356224,0.0607640631496906,0.7511880993843079,0.8993186950683594,19.490297317504883,3.881103277206421,0.0331945456564426,0.0699813365936279,3.881103277206421,0.7531233429908752,0.928648054599762
0.3486331701278686,0.049006599932909,0.0414354316890239,0.0828940868377685,0.049006599932909,0.7516793608665466,0.9125662446022034,16.147687911987305,3.2137584686279297,0.0305380430072546,0.0661970525979995,3.2137584686279297,0.7536175847053528,0.9275751113891602
0.3264267444610595,0.0464792363345623,0.0380655229091644,0.073864921927452,0.0464792363345623,0.7519770264625549,0.9211771488189696,31.79862403869629,6.345890998840332,0.0274452678859233,0.055975068360567,6.345890998840332,0.7536816596984863,0.9474248886108398
0.2798369824886322,0.0388509333133697,0.0353507287800312,0.0651125758886337,0.0388509333133697,0.7522204518318176,0.9330052733421326,30.27017593383789,6.04102087020874,0.0265109278261661,0.0505926422774791,6.04102087020874,0.753754734992981,0.9436695575714112
0.2607865333557129,0.036554429680109,0.0324539095163345,0.0586667396128177,0.036554429680109,0.7524732351303101,0.9424678087234496,49.53915786743164,9.896429061889648,0.0220970679074525,0.0477603711187839,9.896429061889648,0.7544153928756714,0.9565450549125672
0.2412168681621551,0.0337161384522914,0.0305109452456235,0.0537399351596832,0.0337161384522914,0.7526687383651733,0.9475775957107544,38.65895462036133,7.721315860748291,0.0209392495453357,0.0419612117111682,7.721315860748291,0.754378616809845,0.9619098901748656
0.762022852897644,0.1175804361701011,0.0672415718436241,0.1465166211128235,0.1175804361701011,0.7496739625930786,0.8373391628265381,18.139360427856445,3.6018550395965576,0.0490872859954834,0.1129202917218208,3.6018550395965576,0.7501002550125122,0.8830472230911255
0.5708629488945007,0.0850715264678001,0.0566837675869464,0.1209578886628151,0.0850715264678001,0.750620424747467,0.8672407269477844,41.86780548095703,8.350799560546875,0.0400706343352794,0.1074170023202896,8.350799560546875,0.7508342266082764,0.9109442234039308
0.4860405027866363,0.071175217628479,0.051384337246418,0.1061753332614898,0.071175217628479,0.7510954737663269,0.8837054967880249,18.8526668548584,3.752531051635742,0.0339751429855823,0.0781216919422149,3.752531051635742,0.7516607642173767,0.9302574992179872
0.4073726534843445,0.0583807490766048,0.0454772673547267,0.0945060402154922,0.0583807490766048,0.7516235709190369,0.896763801574707,18.15149307250977,3.611640930175781,0.0327526479959487,0.0883199945092201,3.611640930175781,0.7513779401779175,0.932939887046814
0.3654148578643799,0.0525863133370876,0.0409577079117298,0.0820938870310783,0.0525863133370876,0.7520179748535156,0.913607120513916,23.65572738647461,4.714723587036133,0.026266748085618,0.0854181796312332,4.714723587036133,0.752223551273346,0.9372317790985109
0.3358218371868133,0.0487094782292842,0.0374696142971515,0.0721404626965522,0.0487094782292842,0.7523470520973206,0.9235427975654602,15.556354522705078,3.097965717315674,0.0228175520896911,0.0646025091409683,3.097965717315674,0.7521511912345886,0.946351945400238
0.2816065847873688,0.0394989177584648,0.0339958444237709,0.0662365332245826,0.0394989177584648,0.7526596784591675,0.9330052733421326,38.279396057128906,7.643549919128418,0.023270770907402,0.053473837673664,7.643549919128418,0.7523584365844727,0.9533261656761168
0.2636815309524536,0.0373339876532554,0.0314636938273906,0.0596315041184425,0.0373339876532554,0.7528936266899109,0.9418054223060608,26.10266876220703,5.210349082946777,0.0195433162152767,0.0432381071150302,5.210349082946777,0.7527043223381042,0.9608368873596193
0.228763923048973,0.0314541645348072,0.029586361721158,0.0542273558676242,0.0314541645348072,0.7530615925788879,0.9473883509635924,34.26816940307617,6.844447612762451,0.01675646007061,0.0416190549731254,6.844447612762451,0.7530701756477356,0.9619098901748656
